image_x image_y distances
000093.jpg 000114.jpg 0.9380093557509122
000093.jpg 000131.jpg 0.7052001988268266
000093.jpg 000176.jpg 0.8298969525518491
000093.jpg 000180.jpg 0.8063455873726851
000093.jpg 000207.jpg 0.7882432121693155
000093.jpg 000277.jpg 0.8159663400241457
000093.jpg 000280.jpg 0.7451835580954027
000093.jpg 000306.jpg 0.9312544121241216
000093.jpg 000457.jpg 0.7378110272782209
000093.jpg 000461.jpg 0.917114047046409
000093.jpg 000486.jpg 0.7755141327544148
000093.jpg 000501.jpg 0.9215073837234274
000093.jpg 000565.jpg 0.6323070874777078
000093.jpg 000625.jpg 0.8516845598548036
000093.jpg 000654.jpg 0.8462499327784957
000093.jpg 000678.jpg 0.679607596421592
000093.jpg 000711.jpg 0.646200185136396
000093.jpg 000724.jpg 0.7685606093753151
000093.jpg 000727.jpg 0.8353010861844359
000093.jpg 000772.jpg 0.7704393616642329
000093.jpg 000795.jpg 0.852473103764477
000093.jpg 000825.jpg 0.9577055623349875
000093.jpg 000833.jpg 0.8395887915243662
000093.jpg 000875.jpg 0.8831877285631207
000093.jpg 000876.jpg 0.7818234027919472
000093.jpg 000957.jpg 0.8847894308438639
000093.jpg 000962.jpg 0.9006918280382872
000093.jpg 000985.jpg 0.7124189699904113
000093.jpg 000987.jpg 0.8886556733676033
000093.jpg 000988.jpg 0.7243592433515142
000093.jpg 000989.jpg 0.7588293628453279
000093.jpg 000991.jpg 0.6738398804137296
000093.jpg 001004.jpg 0.71777822309211
000093.jpg 001053.jpg 0.8110586160378793
000093.jpg 001084.jpg 0.8109226267410738
000093.jpg 001085.jpg 0.8282409144752994
000093.jpg 001145.jpg 0.7741784091985316
000093.jpg 001276.jpg 0.7999731752109795
000093.jpg 001313.jpg 0.7066495760882422
000093.jpg 001319.jpg 0.8063569322225833
000093.jpg 001321.jpg 0.7326997488073965
000093.jpg 001367.jpg 0.7313712153480392
000093.jpg 001382.jpg 0.6865775975065616
000093.jpg 001414.jpg 0.7979531876602665
000093.jpg 001508.jpg 0.6962335209355396
000093.jpg 001568.jpg 0.7941544021633089
000093.jpg 001571.jpg 0.8751845063007123
000093.jpg 001598.jpg 0.8166761288486397
000093.jpg 001602.jpg 0.7874152481755684
000093.jpg 001618.jpg 0.7813782042695278
000093.jpg 001651.jpg 0.727952673661184
000093.jpg 001697.jpg 0.7659124512413362
000093.jpg 001719.jpg 0.6703666304000439
000093.jpg 001728.jpg 0.7946701710044933
000093.jpg 001854.jpg 0.91927625591285
000093.jpg 001855.jpg 0.836538381038977
000093.jpg 001941.jpg 0.783332783834818
000093.jpg 001948.jpg 0.8603173701622637
000093.jpg 002028.jpg 0.7222777339792861
000093.jpg 002045.jpg 0.749566792670258
000093.jpg 002056.jpg 0.7733718912783669
000093.jpg 002058.jpg 0.7368454998093839
000093.jpg 002068.jpg 0.8086026301607939
000093.jpg 002123.jpg 0.8787043852686346
000093.jpg 002135.jpg 0.8818965039693357
000093.jpg 002153.jpg 0.8003234025272798
000093.jpg 002154.jpg 0.7850970177782192
000093.jpg 002173.jpg 0.8545650239184699
